category,discounted_price,original_price,rating,discount_pct,price_ending,pricing_type,units_sold
"Sports, Books and More",10999.0,20000.0,4.6,45.005,99.0,Charm,344
"Sports, Books and More",289.0,299.0,3.5,3.3444816053511706,89.0,Other,454
"Sports, Books and More",239.0,249.0,2.6,4.016064257028113,39.0,Other,443
"Sports, Books and More",549.0,999.0,4.1,45.04504504504504,49.0,Other,90
"Sports, Books and More",249.0,999.0,3.3,75.07507507507508,49.0,Other,194
"Sports, Books and More",449.0,499.0,3.6,10.02004008016032,49.0,Other,381
"Sports, Books and More",550.0,,4.2,,50.0,Other,473
"Sports, Books and More",2599.0,4000.0,4.6,35.025,99.0,Charm,364
"Sports, Books and More",1461.0,1499.0,3.0,2.535023348899266,61.0,Other,259
"Sports, Books and More",206.0,299.0,4.0,31.103678929765888,6.0,Other,89
"Sports, Books and More",14999.0,41000.0,4.2,63.41707317073171,99.0,Charm,99
"Sports, Books and More",24199.0,69999.0,4.3,65.42950613580194,99.0,Charm,177
"Sports, Books and More",25999.0,62480.0,4.3,58.38828425096031,99.0,Charm,445
"Sports, Books and More",17999.0,41000.0,4.3,56.10000000000001,99.0,Charm,256
"Sports, Books and More",11999.0,22990.0,4.0,47.80774249673771,99.0,Charm,412
"Sports, Books and More",29699.0,68000.0,4.4,56.325,99.0,Charm,385
"Sports, Books and More",11999.0,41000.0,4.2,70.73414634146341,99.0,Charm,71
"Sports, Books and More",27719.0,75000.0,4.1,63.04133333333334,19.0,Other,482
"Sports, Books and More",16999.0,41000.0,4.2,58.539024390243895,99.0,Charm,366
"Sports, Books and More",16999.0,37500.0,4.1,54.669333333333334,99.0,Charm,364
"Sports, Books and More",34195.0,53000.0,4.1,35.4811320754717,95.0,Other,447
"Sports, Books and More",14999.0,39999.0,4.4,62.501562539063485,99.0,Charm,410
"Sports, Books and More",26099.0,69990.0,3.9,62.71038719817117,99.0,Charm,53
"Sports, Books and More",20149.0,42900.0,4.3,53.03263403263403,49.0,Other,465
"Sports, Books and More",27349.0,56000.0,3.9,51.1625,49.0,Other,254
"Sports, Books and More",18655.0,44999.0,4.2,58.54352318940421,55.0,Other,195
"Sports, Books and More",26999.0,72000.0,4.3,62.50138888888889,99.0,Charm,463
"Sports, Books and More",28989.0,52500.0,4.1,44.78285714285714,89.0,Other,228
"Sports, Books and More",19535.0,44999.0,4.2,56.587924176092805,35.0,Other,101
"Sports, Books and More",36999.0,58999.0,4.5,37.288767606230614,99.0,Charm,198
"Sports, Books and More",44999.0,139999.0,4.2,67.85762755448253,99.0,Charm,55
"Sports, Books and More",48999.0,64999.0,4.6,24.615763319435683,99.0,Charm,297
"Sports, Books and More",29215.0,79999.0,4.6,63.480793509918875,15.0,Other,414
"Sports, Books and More",69999.0,122999.0,4.6,43.089781217733474,99.0,Charm,248
"Sports, Books and More",12741.0,28105.0,4.0,54.666429460950006,41.0,Other,239
"Sports, Books and More",9999.0,25000.0,2.8,60.004000000000005,99.0,Charm,282
"Sports, Books and More",32499.0,55000.0,4.3,40.910909090909094,99.0,Charm,450
"Sports, Books and More",19999.0,48999.0,4.3,59.18488132410865,99.0,Charm,252
"Sports, Books and More",11999.0,20000.0,3.5,40.005,99.0,Charm,182
"Sports, Books and More",12999.0,22990.0,4.2,43.45802522836016,99.0,Charm,456
"Sports, Books and More",,,,,,Other,325
"Sports, Books and More",65999.0,89999.0,4.7,26.66696296625518,99.0,Charm,135
"Sports, Books and More",29129.0,62400.0,4.3,53.318910256410255,29.0,Other,251
"Sports, Books and More",9499.0,21000.0,3.6,54.766666666666666,99.0,Charm,341
"Sports, Books and More",11999.0,17999.0,4.5,33.335185288071564,99.0,Charm,170
"Sports, Books and More",41999.0,68999.0,4.1,39.13100189857824,99.0,Charm,341
"Sports, Books and More",31491.0,54320.0,4.1,42.02687776141384,91.0,Other,162
"Sports, Books and More",36469.0,84999.0,3.8,57.094789350462946,69.0,Other,317
"Sports, Books and More",59841.0,122550.0,4.4,51.170134638922896,41.0,Other,91
"Sports, Books and More",39999.0,79998.0,4.6,50.0,99.0,Charm,360
"Sports, Books and More",1699.0,1999.0,3.9,15.007503751875939,99.0,Charm,69
"Sports, Books and More",1649.0,1999.0,4.6,17.508754377188595,49.0,Other,347
"Sports, Books and More",299.0,799.0,4.1,62.57822277847309,99.0,Charm,239
"Sports, Books and More",290.0,699.0,4.1,58.51216022889842,90.0,Other,444
"Sports, Books and More",1899.0,8999.0,4.0,78.89765529503279,99.0,Charm,86
"Sports, Books and More",199.0,999.0,4.1,80.08008008008008,99.0,Charm,50
"Sports, Books and More",499.0,3999.0,4.0,87.52188047011754,99.0,Charm,301
"Sports, Books and More",1799.0,1999.0,3.8,10.005002501250624,99.0,Charm,208
"Sports, Books and More",1099.0,2038.0,3.6,46.07458292443572,99.0,Charm,368
"Sports, Books and More",279.0,999.0,4.0,72.07207207207207,79.0,Other,135
"Sports, Books and More",338.0,699.0,4.1,51.645207439198856,38.0,Other,338
"Sports, Books and More",1699.0,1999.0,4.0,15.007503751875939,99.0,Charm,154
"Sports, Books and More",1449.0,3199.0,3.5,54.70459518599562,49.0,Other,319
"Sports, Books and More",322.0,1495.0,4.0,78.46153846153847,22.0,Other,296
"Sports, Books and More",793.0,2699.0,3.9,70.61874768432753,93.0,Other,430
"Sports, Books and More",1589.0,1999.0,4.0,20.51025512756378,89.0,Other,465
"Sports, Books and More",1699.0,6999.0,4.7,75.72510358622661,99.0,Charm,338
"Sports, Books and More",194.0,799.0,3.9,75.71964956195244,94.0,Other,274
"Sports, Books and More",170.0,599.0,4.1,71.61936560934892,70.0,Other,472
"Sports, Books and More",1599.0,1999.0,4.2,20.01000500250125,99.0,Charm,215
